wave,id,age,gender,ambition,ambition_1,ambition_2,ambition_3,ambition_4,ambition_5,ambition_6,ambition_7,motivation_to_lead,mtl_1,mtl_2,mtl_3,mtl_4,mtl_5,mtl_6,mtl_7,mtl_8,drive_to_achieve,extra,leader_ability,self,others,direct_reports,managers,peers
1,30,29,1,5.428571428571429,6,6,3,7,6,4,6,4.25,5,5,6,5,4,4,2,3,NA,NA,NA,4.8979591836734695,5.884615536862939,6.651162790697675,5.62,5.76595744680851
1,31,51,2,6.285714285714286,6,7,4,7,7,6,7,5.25,4,7,7,2,4,6,6,6,NA,NA,NA,6.26,6.0162308673469385,5.495535714285714,5.9793877551020405,6.295
1,32,NA,1,5.571428571428571,6,4,6,5,6,6,6,5.375,7,6,6,3,6,5,4,6,NA,NA,NA,5.54,6.018100340136055,6.347619047619048,5.23,6.082631802721089
1,33,42,2,6.571428571428571,6,6,6,7,7,7,7,4.625,2,1,7,4,6,6,5,6,NA,NA,NA,5.6,5.774742772108843,5.973333333333334,5.535714285714286,5.735504535147393
1,34,29,1,6.571428571428571,6,7,6,7,7,6,7,5.125,7,6,6,4,1,6,6,5,NA,NA,NA,5.58,5.986555770887167,5.988139534883722,6.708333333333333,5.744907407407407
1,35,45,1,6.571428571428571,7,4,7,7,7,7,7,2.375,2,2,5,2,2,2,2,2,NA,NA,NA,5.346938775510204,6.416666666666667,6.839166666666666,6.04,5.9712499999999995
1,36,35,1,5.857142857142857,5,6,5,6,6,6,7,5.875,7,6,7,6,5,6,3,7,NA,NA,NA,6.48,6.00248190765668,6.3487074829931975,6.020408163265306,5.738331162252135
1,37,43,2,7,7,7,7,7,7,7,7,5.375,6,7,4,5,7,6,4,4,NA,NA,NA,5.9,3.8276643990929706,NA,3.510204081632653,3.9863945578231292
1,38,NA,2,6.285714285714286,6,6,6,6,6,7,7,6.375,6,7,7,6,7,6,6,6,NA,NA,NA,5.62,5.63475040257649,5.314202898550724,5.68,6.153913043478261
1,39,NA,2,6.428571428571429,6,7,6,7,7,5,7,5.125,6,6,4,4,5,6,5,5,NA,NA,NA,5.74,6.488279883381924,6.462040816326531,6.38,6.550612244897959
1,40,30,2,6.285714285714286,5,6,6,7,7,7,6,5.5,6,5,7,5,5,5,5,6,NA,NA,NA,5.16,6.045959183673469,NA,5.684897959183673,6.286666666666667
1,41,34,2,4.428571428571429,4,4,5,5,5,4,4,6.25,6,7,7,6,6,6,6,6,NA,NA,NA,5.74,5.668336951801997,4.959591836734694,5.356938775510204,6.58468085106383
1,42,42,1,5.571428571428571,6,6,4,5,6,6,6,4,5,6,2,4,3,4,4,4,NA,NA,NA,4.8,5.405869565217391,NA,5.26,5.5517391304347825
1,43,43,1,6.285714285714286,7,7,6,6,6,6,6,6.125,6,6,6,6,6,7,6,6,NA,NA,NA,5.52,5.371111111111111,5.5600000000000005,4.5,5.346666666666667
1,44,28,1,7,7,7,7,7,7,7,7,5.25,5,7,6,5,6,3,7,3,NA,NA,NA,6.244897959183674,6.42962962962963,NA,6.26,6.463555555555556
1,45,39,1,6.714285714285714,7,7,7,7,7,5,7,5.625,7,7,7,4,7,6,2,5,NA,NA,NA,5.82,6.283396087117017,5.96,6.28,6.500125507567368
1,46,NA,2,6.142857142857143,6,6,7,7,6,5,6,5.75,5,7,7,6,4,6,5,6,NA,NA,NA,5.56,5.459209726443769,5.051489361702128,5.54,5.99
1,47,37,2,5.142857142857143,3,6,6,5,5,5,6,4.5,4,6,4,5,4,5,3,5,NA,NA,NA,5.795918367346939,5.224693921260944,5.16,5.37695652173913,5.166314801782782
1,48,NA,2,7,7,7,7,7,7,7,7,5.875,6,7,7,6,7,7,1,6,NA,NA,NA,5.28,5.672513605442177,NA,6.88,5.370642006802721
1,49,40,1,6.428571428571429,6,7,7,7,6,5,7,5.125,6,6,6,5,6,4,4,4,NA,NA,NA,4.96,4.793238581146745,5.120277777777778,3.9,4.763945578231293
